Type d'analyse,Valeur,Détails
Paquets analysés,42,0.7/s
Anomalies,1,2.4%
IPs suspectes,1,25.0%
Services,18,-
Distribution protocoles,ARP,42.9%
Distribution protocoles,gvcp,19.0%
Distribution protocoles,netbios-ns,2.4%
Distribution protocoles,STP,4.8%
Distribution protocoles,domain,11.9%
Distribution protocoles,61315,2.4%
Distribution protocoles,53027,2.4%
Distribution protocoles,hsrp,4.8%
Distribution protocoles,ssdp,2.4%
Distribution protocoles,62537,2.4%
Distribution protocoles,60304,2.4%
Distribution protocoles,52187,2.4%
Anomalie 1,161.3.129.167,Pic de trafic: 0.08 paquets/s
